name_last,name_first,key_fangraphs,key_mlbam,mlb_played_first,hand,Name,mlb_played_last
Kirkman,Michael,9877,457779,2010,L,Michael Kirkman,2016
Kittredge,Andrew,12828,552640,2017,R,Andrew Kittredge,2021
Klein,Phil,12675,607309,2014,R,Phil Klein,2016
Kluber,Corey,2429,446372,2011,R,Corey Kluber,2021
Knebel,Corey,15010,608349,2014,R,Corey Knebel,2021
Kobayashi,Masahide,3276,493131,2008,R,Masahide Kobayashi,2009
Koch,Matt,13420,571863,2016,R,Matt Koch,2019
Koehler,Tom,6570,543408,2012,R,Tom Koehler,2017
Kohn,Michael,8505,543409,2010,R,Michael Kohn,2015
Kolarek,Adam,10843,592473,2017,L,Adam Kolarek,2021
Kontos,George,9486,502004,2011,R,George Kontos,2018
Krol,Ian,10066,571871,2013,L,Ian Krol,2018
Kuhl,Chad,14975,641771,2016,R,Chad Kuhl,2021
Kuo,Hung-chih,7016,425539,2005,L,Hung-chih Kuo,2011
Kuroda,Hiroki,3283,493133,2008,R,Hiroki Kuroda,2014
Lackey,John,1507,407793,2002,R,John Lackey,2017
Laffey,Aaron,6248,444836,2007,L,Aaron Laffey,2015
Lakins,Travis,18600,664042,2019,R,Travis Lakins,2021
Lamb,John,8493,543424,2015,L,John Lamb,2018
Lambert,Peter,17969,663567,2019,R,Peter Lambert,2019
Lamet,Dinelson,17186,659275,2017,R,Dinelson Lamet,2021
Lannan,John,7080,458709,2007,L,John Lannan,2014
Latos,Mat,3815,502009,2009,R,Mat Latos,2017
Lauer,Eric,19316,641778,2018,L,Eric Lauer,2021
Law,Derek,13133,571882,2016,R,Derek Law,2021
Lawrence,Casey,11121,596271,2017,R,Casey Lawrence,2018
Layne,Tommy,7501,518927,2012,L,Tommy Layne,2017
League,Brandon,3731,434181,2004,R,Brandon League,2014
Leake,Mike,10130,502190,2010,R,Mike Leake,2019
Leblanc,Wade,5221,453281,2008,L,Wade Leblanc,2021
Leclerc,Jose,14524,600917,2016,R,Jose Leclerc,2020
Lecure,Sam,4664,459967,2010,R,Sam Lecure,2015
Ledezma,Wil,1669,425656,2003,L,Wil Ledezma,2011
Lee,Cliff,1636,424324,2002,L,Cliff Lee,2014
Lehr,Justin,2163,430680,2004,R,Justin Lehr,2009
Leiter,Mark,15551,643410,2017,R,Mark Leiter,2018
Leone,Dominic,13763,608678,2014,R,Dominic Leone,2020
Leroux,Chris,7645,460092,2009,R,Chris Leroux,2014
Lester,Jon,4930,452657,2006,L,Jon Lester,2021
Lewicki,Artie,16731,592499,2017,R,Artie Lewicki,2020
Lewis,Colby,1259,407890,2002,R,Colby Lewis,2016
Lewis,Jensen,3384,460029,2007,R,Jensen Lewis,2010
Liberatore,Adam,10637,571893,2015,L,Adam Liberatore,2018
Lidge,Brad,563,400058,2002,R,Brad Lidge,2012
Lilly,Ted,833,150404,1999,L,Ted Lilly,2013
Lincecum,Tim,5705,453311,2007,R,Tim Lincecum,2016
Lincoln,Brad,4241,453184,2010,R,Brad Lincoln,2014
Lincoln,Mike,1457,150221,1999,R,Mike Lincoln,2010
Lindblom,Josh,7882,458676,2011,R,Josh Lindblom,2021
Lindstrom,Matt,4604,434637,2007,R,Matt Lindstrom,2014
Linebrink,Scott,564,276530,2000,R,Scott Linebrink,2011
Liriano,Francisco,3201,434538,2005,L,Francisco Liriano,2019
Litsch,Jesse,3688,446209,2007,R,Jesse Litsch,2011
Littell,Zack,15823,641793,2018,R,Zack Littell,2021
Lively,Ben,14932,594902,2017,R,Ben Lively,2019
Liz,Radhames,5843,467785,2007,R,Radhames Liz,2015
Loaisiga,Jonathan,19753,642528,2018,R,Jonathan Loaisiga,2021
Lobstein,Kyle,9178,543456,2014,L,Kyle Lobstein,2016
Locke,Jeff,2929,502046,2011,L,Jeff Locke,2017
Lockett,Walker,13804,621141,2018,R,Walker Lockett,2020
Loe,Kameron,4422,434180,2004,R,Kameron Loe,2013
Logan,Boone,5525,457429,2006,L,Boone Logan,2018
Lohse,Kyle,739,346798,2001,R,Kyle Lohse,2016
Looper,Braden,526,131702,1998,R,Braden Looper,2009
Lopez,Aquilino,1671,425658,2003,R,Aquilino Lopez,2008
Lopez,Javier,1663,425657,2003,L,Javier Lopez,2016
Lopez,Jorge,14527,605347,2015,R,Jorge Lopez,2021
Lopez,Pablo,17085,641154,2018,R,Pablo Lopez,2021
Lopez,Reynaldo,16400,625643,2016,R,Reynaldo Lopez,2020
Lopez,Rodrigo,150,150438,2000,R,Rodrigo Lopez,2012
Lopez,Wilton,4227,446641,2009,R,Wilton Lopez,2014
López,Yoan,17181,661255,2018,R,Yoan López,2021
Lorenzen,Michael,14843,547179,2015,R,Michael Lorenzen,2020
Loup,Aaron,10343,571901,2012,L,Aaron Loup,2021
Loux,Shane,1613,400076,2002,R,Shane Loux,2012
Lowe,Derek,199,117955,1997,R,Derek Lowe,2013
Lowe,Mark,7416,450275,2006,R,Mark Lowe,2016
Lucchesi,Joey,19320,664192,2018,L,Joey Lucchesi,2021
Luebke,Cory,1984,458537,2010,L,Cory Luebke,2016
Lueke,Josh,5722,518961,2011,R,Josh Lueke,2014
Luetge,Lucas,8337,476595,2012,L,Lucas Luetge,2021
Lugo,Seth,12447,607625,2016,R,Seth Lugo,2020
Luzardo,Jesus,19959,666200,2019,L,Jesus Luzardo,2021
Lyles,Jordan,7593,543475,2011,R,Jordan Lyles,2021
Lynn,Lance,2520,458681,2011,R,Lance Lynn,2021
Lyon,Brandon,1312,407193,2001,R,Brandon Lyon,2013
Lyons,Tyler,11334,544928,2013,L,Tyler Lyons,2020
Macdougal,Mike,612,213680,2001,R,Mike Macdougal,2012
Machi,Jean,3220,466948,2012,R,Jean Machi,2017
Maddux,Greg,104,118120,1986,R,Greg Maddux,2008
Madson,Ryan,1852,425492,2003,R,Ryan Madson,2018
Maeda,Kenta,18498,628317,2016,R,Kenta Maeda,2021
Magill,Matt,3950,543483,2013,R,Matt Magill,2020
Mahay,Ron,290,118158,1995,L,Ron Mahay,2010
Mahle,Tyler,16358,641816,2017,R,Tyler Mahle,2021
Maholm,Paul,8678,430904,2005,L,Paul Maholm,2014
Maine,John,4773,429720,2004,R,John Maine,2013
Maloney,Matt,9920,476011,2009,L,Matt Maloney,2012
Manaea,Sean,15873,640455,2016,L,Sean Manaea,2021
Maness,Seth,12235,595307,2013,R,Seth Maness,2017
Manship,Jeff,6865,453249,2009,R,Jeff Manship,2016
Marcum,Shaun,6204,451788,2005,R,Shaun Marcum,2015
Margevicius,Nick,20395,676606,2019,L,Nick Margevicius,2021
Marinez,Jhan,5830,501697,2010,R,Jhan Marinez,2018
Marmol,Carlos,2790,461791,2006,R,Carlos Marmol,2014
Marquez,German,15038,608566,2016,R,German Marquez,2021
Marquis,Jason,105,150302,2000,R,Jason Marquis,2015
Marshall,Evan,12297,605359,2014,R,Evan Marshall,2021
Marshall,Sean,5905,445156,2006,L,Sean Marshall,2014
Marte,Damaso,247,150122,1999,L,Damaso Marte,2010
Marte,Victor,5158,469690,2009,R,Victor Marte,2013
Martes,Francis,17303,642564,2017,R,Francis Martes,2017
Martin,Brett,17369,656685,2019,L,Brett Martin,2021
Martin,Chris,11847,455119,2014,R,Chris Martin,2021
Martin,Cody,12182,592533,2015,R,Cody Martin,2017
Martin,J. d.,3685,455605,2009,R,J. d. Martin,2010
Martinez,Carlos,11682,593372,2013,R,Carlos Martinez,2021
Martinez,Cristhian,5337,450852,2009,R,Cristhian Martinez,2013
Martinez,Joe,3935,458155,2009,R,Joe Martinez,2013
Martinez,Nick,12730,607259,2014,R,Nick Martinez,2017
Martinez,Pedro,200,118377,1992,R,Pedro Martinez,2009
Martis,Shairon,6781,463017,2008,R,Shairon Martis,2013
Masset,Nick,7267,434665,2006,R,Nick Masset,2015
Masterson,Justin,2038,475416,2008,R,Justin Masterson,2015
Mateo,Marcos,6869,456496,2010,R,Marcos Mateo,2015
Mathis,Doug,3944,450545,2008,R,Doug Mathis,2010
Maton,Phil,18064,664208,2017,R,Phil Maton,2021
Matsuzaka,Daisuke,7775,493137,2007,R,Daisuke Matsuzaka,2014
Mattheus,Ryan,7169,458919,2011,R,Ryan Mattheus,2015
Matusz,Brian,2646,451085,2009,L,Brian Matusz,2016
Matz,Steven,13361,571927,2015,L,Steven Matz,2021
Matzek,Tyler,10058,554431,2014,L,Tyler Matzek,2021
Maurer,Brandon,4878,543506,2013,R,Brandon Maurer,2018
May,Dustin,19716,669160,2019,R,Dustin May,2021
May,Trevor,6398,543507,2014,R,Trevor May,2021
Maya,Yunesky,11420,493337,2010,R,Yunesky Maya,2013
Mayers,Mike,15451,594577,2016,R,Mike Mayers,2021
Mayza,Tim,15042,641835,2017,L,Tim Mayza,2021
Mazza,Chris,14151,607391,2019,R,Chris Mazza,2021
Mazzaro,Vin,5231,476570,2009,R,Vin Mazzaro,2016
Mcallister,Zach,2895,502083,2011,R,Zach Mcallister,2018
Mccarthy,Brandon,4662,435221,2005,R,Brandon Mccarthy,2018
Mccarthy,Kevin,15240,641838,2016,R,Kevin Mccarthy,2020
Mcclellan,Kyle,4845,449072,2008,R,Kyle Mcclellan,2013
Mcclung,Seth,1657,425528,2003,R,Seth Mcclung,2009
Mccullers,Lance,14120,621121,2015,R,Lance Mccullers,2021
Mccutchen,Daniel,263,445216,2009,R,Daniel Mccutchen,2014
Mcdonald,James,5523,457428,2008,R,James Mcdonald,2013
Mcfarland,T. j.,3237,519008,2013,L,T. j. Mcfarland,2020
Mcgee,Jake,7550,459429,2010,L,Jake Mcgee,2021
Mcgowan,Dustin,8600,430661,2005,R,Dustin Mcgowan,2017
Mcguire,Deck,11596,592547,2017,R,Deck Mcguire,2018
Mchugh,Collin,7531,543521,2012,R,Collin Mchugh,2021
Means,John,16269,607644,2018,L,John Means,2021
Meche,Gil,1089,219194,1999,R,Gil Meche,2010
Medders,Brandon,8604,430665,2005,R,Brandon Medders,2010
Medina,Yoervis,10498,500721,2013,R,Yoervis Medina,2015
Medlen,Kris,9417,450665,2009,R,Kris Medlen,2018
Meek,Evan,5109,457425,2008,R,Evan Meek,2014
Mejia,Adalberto,13188,606167,2016,L,Adalberto Mejia,2019
Mejia,Jenrry,8476,516769,2010,R,Jenrry Mejia,2015
Melancon,Mark,4264,453343,2009,R,Mark Melancon,2021
Mendoza,Luis,3126,434669,2007,R,Luis Mendoza,2013
Mengden,Daniel,16980,596043,2016,R,Daniel Mengden,2020
Meredith,Cla,7613,448592,2005,R,Cla Meredith,2010
Meyer,Alex,12833,543542,2015,R,Alex Meyer,2017
Meyer,Dan,4402,434159,2004,L,Dan Meyer,2010
Middleton,Keynan,15264,641871,2017,R,Keynan Middleton,2021
Mijares,Jose,4140,467726,2008,L,Jose Mijares,2013
Mikolas,Miles,9803,571945,2012,R,Miles Mikolas,2019
Miley,Wade,8779,489119,2011,L,Wade Miley,2021
Miller,Andrew,6785,453192,2006,L,Andrew Miller,2021
Miller,Jim,7458,461848,2008,R,Jim Miller,2014
Miller,Justin,8580,502522,2014,R,Justin Miller,2019
Miller,Justin,1313,277405,2002,R,Justin Miller,2010
Miller,Shelby,10197,571946,2012,R,Shelby Miller,2021
Miller,Trever,1672,119125,1996,L,Trever Miller,2011
Mills,Alec,13834,621219,2016,R,Alec Mills,2021
Mills,Brad,4420,502166,2009,L,Brad Mills,2015
Millwood,Kevin,106,119154,1997,R,Kevin Millwood,2012
Milner,Hoby,13346,571948,2017,L,Hoby Milner,2020
Milone,Tommy,7608,543548,2011,L,Tommy Milone,2021
Minaya,Juan,10341,573668,2016,R,Juan Minaya,2019
Miner,Zach,3193,435261,2006,R,Zach Miner,2013
Minor,Mike,10021,501985,2010,L,Mike Minor,2021
Minter,A. j.,18655,621345,2017,L,A. j. Minter,2021
Miranda,Ariel,17526,664641,2016,L,Ariel Miranda,2018
Misch,Pat,5909,435619,2006,L,Pat Misch,2011
Mitchell,Bryan,11479,571951,2014,R,Bryan Mitchell,2018
Mitre,Sergio,1773,429901,2003,R,Sergio Mitre,2011
Mock,Garrett,7335,452241,2008,R,Garrett Mock,2010
Moehler,Brian,480,119215,1996,R,Brian Moehler,2010
Monasterios,Carlos,2506,467856,2010,R,Carlos Monasterios,2010
Montas,Frankie,14309,593423,2015,R,Frankie Montas,2021
Montero,Rafael,12760,606160,2014,R,Rafael Montero,2021
Montgomery,Jordan,16511,656756,2017,L,Jordan Montgomery,2021
Montgomery,Mike,4869,543557,2015,L,Mike Montgomery,2020
Moore,Andrew,17553,621058,2017,R,Andrew Moore,2019
Moore,Matt,1890,519043,2011,L,Matt Moore,2021
Morales,Franklin,5088,462985,2007,L,Franklin Morales,2016
Morgan,Adam,12580,605388,2015,L,Adam Morgan,2020
Morin,Mike,13442,573046,2014,R,Mike Morin,2020
Moronta,Reyes,14966,606625,2017,R,Reyes Moronta,2021
Morris,Bryan,10234,457768,2012,R,Bryan Morris,2017
Morrow,Brandon,9346,453344,2007,R,Brandon Morrow,2018
Mortensen,Clayton,3166,489150,2009,R,Clayton Mortensen,2013
Morton,Charlie,4676,450203,2008,R,Charlie Morton,2021
Moscoso,Guillermo,5106,446861,2009,R,Guillermo Moscoso,2013
Moseley,Dustin,7060,400291,2006,R,Dustin Moseley,2012
Mota,Guillermo,1467,150407,1999,R,Guillermo Mota,2012
Motte,Jason,5861,435400,2008,R,Jason Motte,2017
Moyer,Jamie,1091,119469,1986,L,Jamie Moyer,2012
Moylan,Peter,4891,493247,2006,R,Peter Moylan,2018
Mujica,Edward,3970,465629,2006,R,Edward Mujica,2017
Musgrave,Harrison,16532,643466,2018,L,Harrison Musgrave,2019
Musgrove,Joe,12970,605397,2016,R,Joe Musgrove,2021
Mussina,Mike,837,119608,1991,R,Mike Mussina,2008
Myers,Brett,962,408206,2002,R,Brett Myers,2013
Narveson,Chris,2141,429780,2006,L,Chris Narveson,2016
Nathan,Joe,1122,150274,1999,R,Joe Nathan,2016
Neal,Zach,11294,594943,2016,R,Zach Neal,2018
Nelson,Jimmy,10547,519076,2013,R,Jimmy Nelson,2021
Nelson,Joe,108,406874,2001,R,Joe Nelson,2010
Neris,Hector,11804,593576,2014,R,Hector Neris,2021
Neshek,Pat,4682,450212,2006,R,Pat Neshek,2019
Neverauskas,Dovydas,11604,596720,2017,R,Dovydas Neverauskas,2020
Newberry,Jake,15136,623470,2018,R,Jake Newberry,2021
Newcomb,Sean,16943,656794,2017,L,Sean Newcomb,2021
Ni,Fu-te,4199,547820,2009,L,Fu-te Ni,2010
Nicasio,Juan,7731,504379,2011,R,Juan Nicasio,2020
Nicolino,Justin,11754,592593,2015,L,Justin Nicolino,2017
Niemann,Jeff,8591,435298,2008,R,Jeff Niemann,2012
Niese,Jonathon,4424,477003,2008,L,Jonathon Niese,2016
Nieve,Fernando,2173,430588,2006,R,Fernando Nieve,2010
Nippert,Dustin,4426,430962,2005,R,Dustin Nippert,2010
Noesi,Hector,3292,456051,2011,R,Hector Noesi,2019
Nola,Aaron,16149,605400,2015,R,Aaron Nola,2021
Nolasco,Ricky,3830,445060,2006,R,Ricky Nolasco,2017
Norberto,Jordan,8432,467099,2010,L,Jordan Norberto,2012
Norris,Bud,9492,502032,2009,R,Bud Norris,2018
Norris,Daniel,13475,596057,2014,L,Daniel Norris,2021
Nova,Ivan,1994,467100,2010,R,Ivan Nova,2020
Nuno,Vidal,9674,573064,2013,L,Vidal Nuno,2018
O'day,Darren,3321,503285,2008,R,Darren O'day,2021
O'flaherty,Eric,5746,447714,2006,L,Eric O'flaherty,2017
O'sullivan,Sean,9137,457711,2009,R,Sean O'sullivan,2016
Oberg,Scott,13911,623184,2015,R,Scott Oberg,2019
Oberholtzer,Brett,3855,519085,2013,L,Brett Oberholtzer,2016
Odorizzi,Jake,6397,543606,2012,R,Jake Odorizzi,2021
Ogando,Alexi,10261,468396,2010,R,Alexi Ogando,2018
Oh,Seunghwan,18719,493200,2016,R,Seunghwan Oh,2019
Ohka,Tomo,788,219594,1999,R,Tomo Ohka,2009
Ohlendorf,Ross,8268,456027,2007,R,Ross Ohlendorf,2016
Ohman,Will,296,349193,2000,L,Will Ohman,2012
Ohtani,Shohei,19755,660271,2018,R,Shohei Ohtani,2021
Okajima,Hideki,7763,506606,2007,L,Hideki Okajima,2013
Oliver,Darren,206,119984,1993,L,Darren Oliver,2013
Olsen,Scott,4529,435179,2005,L,Scott Olsen,2010
Olson,Garrett,9889,457796,2007,L,Garrett Olson,2012
Olson,Tyler,14741,621397,2015,L,Tyler Olson,2019
Ondrusek,Logan,3677,446185,2010,R,Logan Ondrusek,2016
Ortiz,Ramon,27,150009,1999,R,Ramon Ortiz,2013
Ortiz,Russ,1124,133460,1998,R,Russ Ortiz,2010
Osich,Josh,11528,592612,2015,L,Josh Osich,2020
Osoria,Franquelis,2860,434701,2005,R,Franquelis Osoria,2008
Osuna,Roberto,13764,532077,2015,R,Roberto Osuna,2020
Oswalt,Corey,13677,621261,2018,R,Corey Oswalt,2020
Oswalt,Roy,571,400061,2001,R,Roy Oswalt,2013
Otero,Dan,7385,519096,2012,R,Dan Otero,2019
Ottavino,Adam,1247,493603,2010,R,Adam Ottavino,2021
Outman,Josh,4004,489189,2008,L,Josh Outman,2014
Oviedo,Juan carlos,2886,434663,2005,R,Juan carlos Oviedo,2014
Owens,Henry,13143,596064,2015,L,Henry Owens,2016
Owings,Micah,4253,452249,2007,R,Micah Owings,2012
Paddack,Chris,20099,663978,2019,R,Chris Paddack,2021
Padilla,Vicente,964,218894,1999,R,Vicente Padilla,2012
Pagan,Emilio,14771,641941,2017,R,Emilio Pagan,2021
Palmer,Matt,4457,461212,2008,R,Matt Palmer,2012
Pannone,Thomas,17281,623381,2018,L,Thomas Pannone,2019
Papelbon,Jonathan,5975,449097,2005,R,Jonathan Papelbon,2016
Park,Chan ho,1267,120221,1994,R,Chan ho Park,2010
Parker,Blake,5224,453284,2012,R,Blake Parker,2020
Parker,Jarrod,4913,519105,2011,R,Jarrod Parker,2013
Parnell,Bobby,9926,458730,2008,R,Bobby Parnell,2016
Parra,Manny,4279,448159,2007,L,Manny Parra,2015
Patton,Spencer,12361,607359,2014,R,Spencer Patton,2016
Patton,Troy,8368,461856,2007,L,Troy Patton,2014
Pauley,David,3625,456102,2006,R,David Pauley,2012
Paulino,Felipe,3777,462956,2007,R,Felipe Paulino,2014
Pavano,Carl,790,134321,1998,R,Carl Pavano,2012
Paxton,James,11828,572020,2013,L,James Paxton,2021
Pazos,James,13323,572021,2015,L,James Pazos,2020
Peacock,Brad,5401,502748,2011,R,Brad Peacock,2020
Peavy,Jake,1051,408241,2002,R,Jake Peavy,2016
Pelfrey,Mike,5203,460059,2006,R,Mike Pelfrey,2017
Pena,Felix,13403,570240,2016,R,Felix Pena,2021
Pena,Tony,4573,430963,2006,R,Tony Pena,2011
Penny,Brad,535,207267,2000,R,Brad Penny,2014
Peralta,Freddy,18679,642547,2018,R,Freddy Peralta,2021
Peralta,Joel,2332,407908,2005,R,Joel Peralta,2016
Peralta,Wandy,14295,593974,2016,L,Wandy Peralta,2021
Peralta,Wily,7738,503449,2012,R,Wily Peralta,2019
Percival,Troy,29,120401,1995,R,Troy Percival,2009
Perdomo,Luis,14682,606131,2016,R,Luis Perdomo,2020
Perdomo,Luis,5380,466412,2009,R,Luis Perdomo,2012
Perez,Chris,5213,453198,2008,R,Chris Perez,2014
Perez,Luis,6389,469802,2011,L,Luis Perez,2013
Perez,Martin,6902,527048,2012,L,Martin Perez,2021
Perez,Odalis,668,136602,1998,L,Odalis Perez,2008
Perez,Oliver,1514,424144,2002,L,Oliver Perez,2021
Perez,Rafael,4078,460370,2006,L,Rafael Perez,2012
Perez,Williams,11592,554234,2015,R,Williams Perez,2016
Perkins,Glen,8041,450282,2006,L,Glen Perkins,2017
Perry,Ryan,8799,543634,2009,R,Ryan Perry,2012
Pestano,Vinnie,4782,502260,2010,R,Vinnie Pestano,2015
Peters,Dillon,18790,596071,2017,L,Dillon Peters,2020
Petit,Yusmeiro,4020,433589,2006,R,Yusmeiro Petit,2021
Petricka,Jake,10534,502593,2013,R,Jake Petricka,2019
Pettibone,Jonathan,7106,543643,2013,R,Jonathan Pettibone,2014
Pettitte,Andy,840,120485,1995,L,Andy Pettitte,2013
Phelps,David,6316,475479,2012,R,David Phelps,2021
Phillips,Evan,17734,623465,2018,R,Evan Phillips,2020
Pimentel,Stolmy,6415,516935,2013,R,Stolmy Pimentel,2015
Pineda,Michael,5372,501381,2011,R,Michael Pineda,2021
Pineiro,Joel,1094,334492,2000,R,Joel Pineiro,2011
Pino,Yohan,6955,464416,2014,R,Yohan Pino,2015
Pinto,Renyel,2180,430594,2006,L,Renyel Pinto,2010
Pivetta,Nick,15454,601713,2017,R,Nick Pivetta,2021
Plesac,Zach,19979,668676,2019,R,Zach Plesac,2021
Plutko,Adam,15846,592644,2016,R,Adam Plutko,2021
Poche,Colin,19403,621363,2019,L,Colin Poche,2019
Pomeranz,Drew,11426,519141,2011,L,Drew Pomeranz,2021
Ponce de leon,Daniel,16110,594965,2018,R,Daniel Ponce de leon,2021
Ponson,Sidney,161,132260,1998,R,Sidney Ponson,2009
Porcello,Rick,2717,519144,2009,R,Rick Porcello,2020
Pressly,Ryan,7005,519151,2013,R,Ryan Pressly,2021
Price,David,3184,456034,2008,L,David Price,2021
Proctor,Scott,1911,429984,2004,R,Scott Proctor,2011
Pruitt,Austin,15290,643493,2017,R,Austin Pruitt,2019
Purcey,David,8360,453515,2008,L,David Purcey,2013
Putnam,Zach,9080,474029,2011,R,Zach Putnam,2017
Putz,J. j.,1795,407816,2003,R,J. j. Putz,2014
Quackenbush,Kevin,12360,534812,2014,R,Kevin Quackenbush,2018
Qualls,Chad,2170,430589,2004,R,Chad Qualls,2017
Quantrill,Cal,19312,615698,2019,R,Cal Quantrill,2021
Quintana,Jose,11423,500779,2012,L,Jose Quintana,2021
Rainey,Tanner,17610,663432,2018,R,Tanner Rainey,2021
Raley,Brooks,10061,548384,2012,L,Brooks Raley,2021
Ramirez,Edwar,4830,469735,2007,R,Edwar Ramirez,2010
Ramirez,Erasmo,10314,541640,2012,R,Erasmo Ramirez,2020
Ramirez,Horacio,110,400141,2003,L,Horacio Ramirez,2011
Ramirez,J. c.,8302,500724,2013,R,J. c. Ramirez,2019
Ramirez,Jose,10171,542432,2014,R,Jose Ramirez,2018
Ramirez,Neil,7677,519166,2014,R,Neil Ramirez,2019
Ramirez,Nick,12575,598286,2019,L,Nick Ramirez,2021
Ramirez,Noe,12800,598287,2015,R,Noe Ramirez,2020
Ramirez,Ramon,7986,430673,2006,R,Ramon Ramirez,2014
Ramirez,Yefry,15655,606162,2018,R,Yefry Ramirez,2019
Ramos,Aj,8350,573109,2012,R,Aj Ramos,2020
Ramos,Cesar,3357,459987,2009,L,Cesar Ramos,2016
Ramos,Edubray,16086,591693,2016,R,Edubray Ramos,2019
Ranaudo,Anthony,11424,519168,2014,R,Anthony Ranaudo,2016
Rapada,Clay,4831,449060,2007,L,Clay Rapada,2013
Rasmus,Cory,2413,474284,2013,R,Cory Rasmus,2016
Rasner,Darrell,4770,434480,2005,R,Darrell Rasner,2008
Rauch,Jon,1475,400010,2002,R,Jon Rauch,2013
Ray,Chris,6315,444884,2005,R,Chris Ray,2011
Ray,Robbie,11486,592662,2014,L,Robbie Ray,2021
Rea,Colin,12317,607067,2015,R,Colin Rea,2020
Redding,Tim,573,400062,2001,R,Tim Redding,2009
Redmond,Todd,9943,445170,2012,R,Todd Redmond,2015
Reed,Addison,10586,592665,2011,R,Addison Reed,2018
Reed,Cody,15232,642003,2016,L,Cody Reed,2021
Reed,Evan,1349,519175,2013,R,Evan Reed,2014
Reid-foley,Sean,17034,656887,2018,R,Sean Reid-foley,2021
Reininger,Zac,15285,643617,2017,R,Zac Reininger,2019
Resop,Chris,3799,434592,2005,R,Chris Resop,2013
Reyes,Alex,15015,621052,2016,R,Alex Reyes,2021
Reyes,Anthony,7105,435039,2005,R,Anthony Reyes,2009
Reyes,Dennys,444,121096,1997,L,Dennys Reyes,2011
Reyes,Jo-jo,5559,457456,2007,L,Jo-jo Reyes,2016
Reynolds,Greg,5712,453353,2008,R,Greg Reynolds,2013
Reynolds,Matt,8887,519186,2010,L,Matt Reynolds,2016
Rhodes,Arthur,1097,121125,1991,L,Arthur Rhodes,2011
Rice,Scott,2743,446488,2013,L,Scott Rice,2014
Richard,Clayton,3551,453385,2008,L,Clayton Richard,2019
Richards,Garrett,9784,572070,2011,R,Garrett Richards,2021
Richards,Trevor,19309,670950,2018,R,Trevor Richards,2021
Richmond,Scott,4307,446341,2008,R,Scott Richmond,2012
Rienzo,Andre,3507,516589,2013,R,Andre Rienzo,2015
Rincon,Juan,752,346799,2001,R,Juan Rincon,2010
Rios,Yacksel,15007,605441,2017,R,Yacksel Rios,2020
Riske,David,402,228594,1999,R,David Riske,2010
Rivera,Mariano,844,121250,1995,R,Mariano Rivera,2013
Rivera,Saul,2027,346800,2006,R,Saul Rivera,2010
Roark,Tanner,8753,543699,2013,R,Tanner Roark,2021
Robertson,David,8241,502085,2008,R,David Robertson,2019
Robertson,Nate,1620,425146,2002,L,Nate Robertson,2010
Robles,Hansel,11801,570663,2015,R,Hansel Robles,2021
Rodney,Fernando,494,407845,2002,R,Fernando Rodney,2019
Rodon,Carlos,16137,607074,2015,L,Carlos Rodon,2021
Rodriguez,Aneury,8948,444553,2011,R,Aneury Rodriguez,2012
Rodriguez,Dereck,14509,605446,2018,R,Dereck Rodriguez,2020
Rodriguez,Eduardo,13164,593958,2015,L,Eduardo Rodriguez,2021
Rodriguez,Fernando,7558,451775,2009,R,Fernando Rodriguez,2016
Rodriguez,Francisco,1642,408061,2002,R,Francisco Rodriguez,2017
Rodriguez,Francisco,6688,477557,2010,R,Francisco Rodriguez,2011
Rodriguez,Henry,6371,469159,2009,R,Henry Rodriguez,2014
Rodriguez,Jefry,17018,622446,2018,R,Jefry Rodriguez,2019
Rodriguez,Joely,11487,570257,2016,L,Joely Rodriguez,2021
Rodriguez,Paco,13398,572089,2012,L,Paco Rodriguez,2015
Rodriguez,Richard,13549,593144,2017,R,Richard Rodriguez,2021
Rodriguez,Wandy,2586,434643,2005,L,Wandy Rodriguez,2015
Roe,Chaz,9866,475054,2013,R,Chaz Roe,2021
Roenicke,Josh,3241,502158,2008,R,Josh Roenicke,2013
Rogers,Esmil,6317,469134,2009,R,Esmil Rogers,2015
Rogers,Kenny,1277,121386,1989,L,Kenny Rogers,2008
Rogers,Taylor,13449,573124,2016,L,Taylor Rogers,2021
Rogers,Tyler,15541,643511,2019,R,Tyler Rogers,2021
Romano,Sal,13690,607219,2017,R,Sal Romano,2021
Romero,Enny,4001,544836,2013,L,Enny Romero,2018
Romero,Fernando,15885,622864,2018,R,Fernando Romero,2019
Romero,J. c.,754,240694,1999,L,J. c. Romero,2012
Romero,Ricky,3403,460069,2009,L,Ricky Romero,2013
Romo,Sergio,9817,489265,2008,R,Sergio Romo,2021
Rondon,Bruce,5766,541652,2013,R,Bruce Rondon,2018
Rondon,Hector,2391,444468,2013,R,Hector Rondon,2020
Rosales,Leo,5618,449820,2008,R,Leo Rosales,2010
Rosario,Randy,14508,600968,2017,L,Randy Rosario,2020
Rosenberg,B. j.,7183,543725,2012,R,B. j. Rosenberg,2014
Rosenthal,Trevor,10745,572096,2012,R,Trevor Rosenthal,2020
Ross,Joe,12972,605452,2015,R,Joe Ross,2021
Ross,Robbie,6819,543726,2012,L,Robbie Ross,2017
Ross,Tyson,7872,475115,2010,R,Tyson Ross,2019
Rosscup,Zac,9419,573127,2013,L,Zac Rosscup,2019
Rowland-smith,Ryan,3245,434884,2007,L,Ryan Rowland-smith,2014
Rucinski,Drew,12499,607968,2014,R,Drew Rucinski,2018
