name_last,name_first,key_fangraphs,key_mlbam,mlb_played_first,hand,Name,mlb_played_last
Edgin,Josh,10796,572831,2012,L,Josh Edgin,2017
Edwards,Carl,13607,605218,2015,R,Carl Edwards,2021
Eflin,Zach,13774,621107,2016,R,Zach Eflin,2021
Eickhoff,Jerad,12664,595191,2015,R,Jerad Eickhoff,2019
Ekstrom,Mike,7488,455091,2008,R,Mike Ekstrom,2012
Elbert,Scott,7489,455092,2008,L,Scott Elbert,2014
Elias,Roenis,12673,606273,2014,L,Roenis Elias,2019
Ellington,Brian,17233,623395,2015,R,Brian Ellington,2017
Ely,John,6132,518655,2010,R,John Ely,2012
Embree,Alan,1030,113833,1992,L,Alan Embree,2009
Enright,Barry,2412,446264,2010,R,Barry Enright,2013
Eovaldi,Nathan,9132,543135,2011,R,Nathan Eovaldi,2021
Eppley,Cody,9095,543136,2011,R,Cody Eppley,2013
Erlin,Robbie,10354,572362,2013,L,Robbie Erlin,2020
Escalona,Edgmer,8574,467850,2010,R,Edgmer Escalona,2013
Eshelman,Thomas,18361,664045,2019,R,Thomas Eshelman,2020
Estevez,Carlos,14542,608032,2016,R,Carlos Estevez,2021
Estrada,Marco,1118,462136,2008,R,Marco Estrada,2019
Eveland,Dana,5508,445968,2005,L,Dana Eveland,2016
Eyre,Scott,1300,113961,1997,L,Scott Eyre,2009
Fairbanks,Pete,17998,664126,2019,R,Pete Fairbanks,2021
Familia,Jeurys,5114,544727,2012,R,Jeurys Familia,2021
Faria,Jake,13699,607188,2017,R,Jake Faria,2019
Farmer,Buck,14814,571656,2014,R,Buck Farmer,2021
Farnsworth,Kyle,278,150035,1999,R,Kyle Farnsworth,2014
Farquhar,Danny,8501,543144,2011,R,Danny Farquhar,2018
Farrell,Luke,15101,608652,2017,R,Luke Farrell,2021
Fedde,Erick,17425,607200,2017,R,Erick Fedde,2021
Feierabend,Ryan,6336,456387,2006,L,Ryan Feierabend,2019
Feldman,Scott,6283,444857,2005,R,Scott Feldman,2017
Feliciano,Pedro,1601,408230,2002,L,Pedro Feliciano,2013
Feliz,Michael,11903,593140,2015,R,Michael Feliz,2021
Feliz,Neftali,18,491703,2009,R,Neftali Feliz,2017
Ferguson,Caleb,19349,657571,2018,L,Caleb Ferguson,2020
Fernandez,Jose,11530,605228,2013,R,Jose Fernandez,2016
Fields,Josh,5070,451661,2013,R,Josh Fields,2018
Fien,Casey,3926,502272,2009,R,Casey Fien,2017
Fiers,Mike,7754,571666,2011,R,Mike Fiers,2021
Fife,Stephen,8077,543155,2012,R,Stephen Fife,2014
Figaro,Alfredo,8404,451628,2009,R,Alfredo Figaro,2014
Figueroa,Nelson,683,150153,2000,R,Nelson Figueroa,2011
Fillmyer,Heath,17466,641571,2018,R,Heath Fillmyer,2019
Finnegan,Brandon,16208,605232,2014,L,Brandon Finnegan,2018
Fisher,Carlos,9832,457567,2009,R,Carlos Fisher,2011
Fister,Doug,9425,450729,2009,R,Doug Fister,2018
Flaherty,Jack,17479,656427,2017,R,Jack Flaherty,2021
Flande,Yohan,5057,456071,2014,L,Yohan Flande,2016
Flexen,Chris,13896,623167,2017,R,Chris Flexen,2021
Flores,Randy,1446,420864,2002,L,Randy Flores,2010
Floro,Dylan,13394,571670,2016,R,Dylan Floro,2021
Floyd,Gavin,3886,425856,2004,R,Gavin Floyd,2016
